lemma,count
golden,24
train,24
swordsman,24
launch,24
single,24
soldier,24
melancholy,24
touch,24
earth,24
honor,24
low,24
mifune,24
grace,24
brutal,24
fellini,24
law,23
hong,23
godard,23
entertaining,23
realize,23
achievement,23
ritrovata,23
national,23
existential,23
crisis,23
witty,23
fassbinder,23
company,23
agnes,23
match,23
thirty,23
arrive,23
immagine,23
commit,23
charge,23
process,23
sharp,23
trio,23
innovative,23
die,23
track,23
shadow,23
bond,23
examination,23
off,23
introduce,23
much,23
critic,23
abandon,23
video,23
stranger,23
wealthy,23
pure,23
view,22
tension,22
elegantly,22
game,22
fifty,22
event,22
without,22
next,22
office,22
already,22
budget,22
job,22
depth,22
unfold,22
nothing,22
re,22
west,22
idiosyncratic,22
start,22
subversive,22
composer,22
important,22
alexander,22
widely,22
ex,22
rome,22
passionate,22
testament,22
expression,22
evoke,22
prison,22
funding,22
witness,22
sexuality,22
imagination,22
unexpected,22
ruthless,22
cultural,22
reach,22
bold,22
side,22
seemingly,22
perform,22
own,22
involve,22
catherine,22
pioneer,21
room,21
harry,21
akira,21
twist,21
bunuel,21
space,21
smash,21
toshiro,21
humane,21
terror,21
captivate,21
ghost,21
doctor,21
legacy,21
less,21
finally,21
believe,21
joy,21
industry,21
business,21
rule,21
beautifully,21
concern,21
stir,21
genius,21
wonder,21
revelatory,21
mission,21
edit,21
historical,21
stop,21
simon,21
renowned,21
summer,21
through,21
directorial,20
boss,20
girlfriend,20
opera,20
blood,20
mount,20
suspense,20
truly,20
widescreen,20
range,20
costume,20
playwright,20
existence,20
performer,20
delightful,20
teacher,20
novelist,20
embark,20
weave,20
pleasure,20
sensual,20
approach,20
deftly,20
cover,20
nation,20
revolution,20
sweet,20
angeles,20
factory,20
visceral,20
equal,20
breakout,20
tom,20
document,20
earn,20
playful,20
conceive,20
spectacle,20
los,20
technique,20
water,20
construct,20
individual,20
interview,20
fund,20
steal,19
enter,19
paint,19
owner,19
raw,19
dance,19
question,19
teenage,19
dramatic,19
build,19
direction,19
entry,19
third,19
farce,19
mean,19
tradition,19
cassavetes,19
swedish,19
nightmare,19
threaten,19
discovery,19
trademark,19
countryside,19
both,19
while,19
manhattan,19
far,19
government,19
edition,19
museum,19
memorable,19
investigate,19
philosophical,19
different,19
editing,19
faith,19
toward,19
fashion,19
glimpse,19
startling,19
red,19
screenwriter,19
erotic,19
composition,18
saga,18
test,18
ambitious,18
birth,18
filmmaking,18
pay,18
east,18
treasure,18
maria,18
learn,18
lady,18
sweep,18
wall,18
delicate,18
essential,18
ten,18
quiet,18
confront,18
masterful,18
shape,18
portrayal,18
urban,18
hell,18
korda,18
carry,18
ill,18
forge,18
mm,18
theatrical,18
cross,18
native,18
spanish,18
seven,18
grant,18
kaurismaki,18
arrest,18
sternberg,18
ensemble,18
laboratory,18
fresh,18
frame,18
everything,18
innocent,18
render,18
watch,18
half,18
hire,18
gritty,18
hall,18
sublime,18
hide,18
eccentric,18
shift,18
truffaut,17
wide,17
wartime,17
limit,17
key,17
fable,17
revolutionary,17
near,17
handsome,17
naturalistic,17
blue,17
conjure,17
teenager,17
appearance,17
immigrant,17
unsettling,17
electrify,17
eyed,17
timeless,17
mexico,17
earthy,17
large,17
reporter,17
notorious,17
protagonist,17
reunite,17
observe,17
nuance,17
fierce,17
fear,17
anderson,17
fame,17
critique,17
thank,17
examine,17
something,17
dietrich,17
officer,17
shatter,17
thief,17
eight,17
level,17
pursue,17
effort,17
fortune,17
o,17
rival,17
experimental,17
andre,17
bloody,17
storytelling,17
public,17
flashback,17
rank,17
painter,17
apartment,17
outside,16
parallel,16
politically,16
atmospheric,16
tales,16
sequel,16
illustration,16
blend,16
palme,16
attention,16
sly,16
shock,16
reflection,16
dreamlike,16
climax,16
material,16
professional,16
quest,16
bleak,16
emotion,16
clash,16
lyrical,16
qatar,16
boil,16
odyssey,16
onto,16
official,16
equally,16
eerie,16
layer,16
harsh,16
motion,16
player,16
european,16
searing,16
expose,16
destructive,16
andersson,16
minute,16
suffuse,16
wong,16
edge,16
circus,16
gag,16
russian,16
compassionate,16
chilling,16
frank,16
dangerous,16
sophisticated,16
dreyer,16
stumble,16
system,16
trial,16
entertainment,16
status,16
eventually,16
visit,16
texas,16
africa,16
mainstream,16
longtime,16
monumental,16
dynamic,16
demy,16
raise,16
fairy,16
endure,16
lovely,16
meticulously,16
front,15
case,15
socially,15
bad,15
julie,15
serve,15
matter,15
europe,15
terry,15
marvel,15
ben,15
vicious,15
save,15
archive,15
survive,15
develop,15
connection,15
within,15
rossellini,15
occupation,15
plunge,15
indelible,15
polish,15
alienation,15
unlikely,15
quintessential,15
spare,15
berlin,15
starring,15
idea,15
pass,15
throughout,15
endlessly,15
successful,15
push,15
